Time,Temperature (°C),Humidity (%),Device,Status
2025-10-30 20:42:08,27.7,76,ON,OFF
2025-10-30 20:42:13,27.7,75.8,ON,OFF
2025-10-30 20:42:18,27.7,75.9,ON,OFF
2025-10-30 20:42:23,27.7,75.5,ON,OFF
2025-10-30 20:42:28,27.7,75.8,ON,OFF
2025-10-30 20:42:33,27.8,76,ON,OFF
2025-10-30 20:42:38,27.8,76.1,ON,OFF
2025-10-30 20:42:43,27.7,76.1,ON,OFF
2025-10-30 20:42:48,27.7,76.1,ON,OFF
2025-10-30 20:42:53,27.7,76.3,ON,OFF
2025-10-30 20:42:58,27.7,76.3,ON,OFF
2025-10-30 20:43:03,27.7,75.5,ON,OFF
2025-10-30 20:43:08,27.7,75.7,ON,OFF
2025-10-30 20:43:13,27.7,75.8,ON,OFF
2025-10-30 20:43:18,27.7,74.6,ON,OFF
2025-10-30 20:43:23,27.7,75.5,ON,OFF
2025-10-30 20:43:28,27.7,76.1,ON,OFF
2025-10-30 20:43:33,27.7,76.1,ON,OFF
2025-10-30 20:43:38,27.7,75.2,ON,OFF
2025-10-30 20:43:43,27.7,75.5,ON,OFF
2025-10-30 20:43:48,27.7,75.7,ON,OFF
2025-10-30 20:43:53,27.7,75.7,ON,OFF
2025-10-30 20:43:58,27.7,74.6,ON,OFF
2025-10-30 20:44:03,27.7,75.6,ON,OFF
2025-10-30 20:44:08,27.7,75.9,ON,OFF
2025-10-30 20:44:13,27.7,75.6,ON,OFF
2025-10-30 20:44:18,27.7,75.1,ON,OFF
2025-10-30 20:44:23,27.7,75.4,ON,OFF
2025-10-30 20:44:28,27.7,75.9,ON,OFF
2025-10-30 20:44:33,27.7,76.3,ON,OFF
2025-10-30 20:44:38,27.7,75.9,ON,OFF
2025-10-30 20:44:43,27.7,75.8,ON,OFF
2025-10-30 20:44:48,27.7,76.1,ON,OFF
2025-10-30 20:44:53,27.7,76.1,ON,OFF
2025-10-30 20:44:58,27.7,75.5,ON,OFF
2025-10-30 20:45:03,27.7,75.7,ON,OFF
2025-10-30 20:45:08,27.7,75.9,ON,OFF
2025-10-30 20:45:13,27.7,76,ON,OFF
2025-10-30 20:45:19,27.7,75.8,ON,OFF
2025-10-30 20:45:23,27.7,76,ON,OFF
2025-10-30 20:45:28,27.7,76.1,ON,OFF
2025-10-30 20:45:33,27.7,76,ON,OFF
2025-10-30 20:45:38,27.7,76,ON,OFF
2025-10-30 20:45:43,27.7,75.9,ON,OFF
2025-10-30 20:45:48,27.7,75.5,ON,OFF
2025-10-30 20:45:53,27.7,75.6,ON,OFF
2025-10-30 20:45:58,27.7,75.7,ON,OFF
2025-10-30 20:46:03,27.7,75.9,ON,OFF
2025-10-30 20:46:08,27.7,75.7,ON,OFF
2025-10-30 20:46:13,27.7,76.1,ON,OFF
2025-10-30 20:46:18,27.7,75.8,ON,OFF
2025-10-30 20:46:23,27.7,76,ON,OFF
2025-10-30 20:46:28,27.7,76.6,ON,OFF
2025-10-30 20:46:33,27.7,76.4,ON,OFF
2025-10-30 20:46:39,27.7,76,ON,OFF
2025-10-30 20:46:43,27.6,76,ON,OFF
2025-10-30 20:46:48,27.7,75.7,ON,OFF
2025-10-30 20:46:53,27.7,75.9,ON,OFF
2025-10-30 20:46:58,27.7,75.8,ON,OFF
2025-10-30 20:47:03,27.7,75.9,ON,OFF
2025-10-30 20:47:08,27.7,75.8,ON,OFF
2025-10-30 20:47:13,27.7,76.3,ON,OFF
2025-10-30 20:47:18,27.7,76.1,ON,OFF
2025-10-30 20:47:23,27.7,76,ON,OFF
2025-10-30 20:47:28,27.7,76.1,ON,OFF
2025-10-30 20:47:33,27.7,76.2,ON,OFF
2025-10-30 20:47:38,27.7,75.8,ON,OFF
2025-10-30 20:47:43,27.7,75.8,ON,OFF
2025-10-30 20:47:48,27.7,76,ON,OFF
2025-10-30 20:47:53,27.7,76.2,ON,OFF
2025-10-30 20:47:59,27.7,75.6,ON,OFF
2025-10-30 20:48:03,27.7,75.8,ON,OFF
2025-10-30 20:48:08,27.7,76.2,ON,OFF
2025-10-30 20:48:13,27.7,75.2,ON,OFF
2025-10-30 20:48:18,27.7,75.3,ON,OFF
2025-10-30 20:48:23,27.7,75.6,ON,ON
2025-10-30 20:48:28,27.7,75.9,ON,OFF
2025-10-30 20:48:33,27.7,76.2,ON,OFF
2025-10-30 20:48:38,27.7,76,ON,OFF
2025-10-30 20:48:43,27.6,76.3,ON,OFF
2025-10-30 20:48:48,27.7,75.9,ON,OFF
2025-10-30 20:48:53,27.7,76.2,ON,OFF
2025-10-30 20:48:58,27.7,76.2,ON,OFF
2025-10-30 20:49:03,27.7,75.9,ON,OFF
2025-10-30 20:49:08,27.7,76.3,OFF,OFF
2025-10-30 20:49:13,27.7,76.3,ON,OFF
2025-10-30 20:49:24,27.7,76.5,ON,OFF
2025-10-30 20:49:26,27.7,76.1,ON,OFF
2025-10-30 20:49:30,27.7,76.4,ON,OFF
2025-10-30 20:49:33,27.7,76.2,ON,OFF
2025-10-30 20:49:38,27.7,76.5,ON,OFF
2025-10-30 20:49:43,27.7,75.8,ON,OFF
2025-10-30 20:49:48,27.7,75.7,ON,OFF
2025-10-30 20:49:53,27.7,76.3,ON,OFF
2025-10-30 20:49:58,27.8,76.2,ON,OFF
2025-10-30 20:50:03,27.8,75.9,ON,OFF
2025-10-30 20:50:08,27.8,76,ON,OFF
2025-10-30 20:50:13,27.8,76.2,ON,OFF
2025-10-30 20:50:18,27.7,76.1,ON,OFF
2025-10-30 20:50:23,27.7,75.9,ON,OFF
2025-10-30 20:50:28,27.8,76.1,ON,OFF
2025-10-30 20:50:33,27.7,76.2,ON,OFF
2025-10-30 20:50:39,27.8,76.3,ON,OFF
2025-10-30 20:50:43,27.8,76,ON,OFF
2025-10-30 20:50:48,27.8,76,ON,OFF
2025-10-30 20:50:53,27.8,76.2,ON,OFF
2025-10-30 20:50:58,27.7,75.9,ON,OFF
2025-10-30 20:51:04,27.7,75.6,OFF,OFF
2025-10-30 20:51:09,27.8,75.9,ON,OFF
